	0
FBLIM1	FBLIM1
UQCRHL	UQCRHL
AL450998.2	AL450998.2
SPEN	SPEN
ZBTB17	ZBTB17
SRARP	SRARP
AL355994.3	AL355994.3
HSPB7	HSPB7
CLCNKA	CLCNKA
CLCNKB	CLCNKB
FAM131C	FAM131C
EPHA2	EPHA2
AL451042.2	AL451042.2
AL451042.1	AL451042.1
ARHGEF19-AS1	ARHGEF19-AS1
ARHGEF19	ARHGEF19
CPLANE2	CPLANE2
FBXO42	FBXO42
SZRD1	SZRD1
SPATA21	SPATA21
NECAP2	NECAP2
LINC01772	LINC01772
AL137802.2	AL137802.2
AL137802.1	AL137802.1
LINC01783	LINC01783
NBPF1	NBPF1
AL137798.1	AL137798.1
AL137798.2	AL137798.2
AL021920.1	AL021920.1
AL021920.3	AL021920.3
CROCC	CROCC
BX284668.1	BX284668.1
BX284668.2	BX284668.2
BX284668.5	BX284668.5
BX284668.6	BX284668.6
MFAP2	MFAP2
AL049569.1	AL049569.1
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
AL590644.1	AL590644.1
AL590644.3	AL590644.3
PADI1	PADI1
PADI3	PADI3
PADI4	PADI4
PADI6	PADI6
AC004824.1	AC004824.1
RCC2	RCC2
ARHGEF10L	ARHGEF10L
AL136529.1	AL136529.1
ACTL8	ACTL8
AL357509.1	AL357509.1
LINC01654	LINC01654
IGSF21	IGSF21
IGSF21-AS1	IGSF21-AS1
AL591896.1	AL591896.1
KLHDC7A	KLHDC7A
PAX7	PAX7
TAS1R2	TAS1R2
AL080251.1	AL080251.1
ALDH4A1	ALDH4A1
IFFO2	IFFO2
UBR4	UBR4
AL035413.1	AL035413.1
EMC1	EMC1
MRTO4	MRTO4
AKR7A3	AKR7A3
AKR7A2	AKR7A2
PQLC2	PQLC2
CAPZB	CAPZB
AL031727.2	AL031727.2
MINOS1	MINOS1
NBL1	NBL1
MINOS1-NBL1	MINOS1-NBL1
HTR6	HTR6
TMCO4	TMCO4
RNF186	RNF186
AL391883.1	AL391883.1
OTUD3	OTUD3
PLA2G2E	PLA2G2E
PLA2G2A	PLA2G2A
PLA2G5	PLA2G5
PLA2G2D	PLA2G2D
PLA2G2F	PLA2G2F
Z98257.1	Z98257.1
PLA2G2C	PLA2G2C
UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10
LINC01757	LINC01757
Z98257.2	Z98257.2
VWA5B1	VWA5B1
AL020998.1	AL020998.1
LINC01141	LINC01141
AL139254.1	AL139254.1
AL139254.2	AL139254.2
AL139254.3	AL139254.3
CAMK2N1	CAMK2N1
MUL1	MUL1
FAM43B	FAM43B
CDA	CDA
PINK1	PINK1
PINK1-AS	PINK1-AS
DDOST	DDOST
KIF17	KIF17
SH2D5	SH2D5
AL663074.1	AL663074.1
HP1BP3	HP1BP3
EIF4G3	EIF4G3
ECE1	ECE1
AL031005.1	AL031005.1
AL031728.1	AL031728.1
AL592309.2	AL592309.2
NBPF3	NBPF3
ALPL	ALPL
AL359815.1	AL359815.1
RAP1GAP	RAP1GAP
USP48	USP48
LDLRAD2	LDLRAD2
HSPG2	HSPG2
CELA3B	CELA3B
CELA3A	CELA3A
LINC01635	LINC01635
CDC42	CDC42
AL031281.2	AL031281.2
WNT4	WNT4
ZBTB40	ZBTB40
EPHA8	EPHA8
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
AL512444.1	AL512444.1
LACTBL1	LACTBL1
TEX46	TEX46
KDM1A	KDM1A
AL031428.1	AL031428.1
LUZP1	LUZP1
HTR1D	HTR1D
LINC01355	LINC01355
AL109936.6	AL109936.6
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
AL109936.2	AL109936.2
TCEA3	TCEA3
ASAP3	ASAP3
E2F2	E2F2
AL021154.1	AL021154.1
ID3	ID3
MDS2	MDS2
RPL11	RPL11
ELOA	ELOA
ELOA-AS1	ELOA-AS1
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
AL590609.3	AL590609.3
PNRC2	PNRC2
SRSF10	SRSF10
AL591178.1	AL591178.1
MYOM3	MYOM3
