	0
DDX21	DDX21
KIF1BP	KIF1BP
SRGN	SRGN
VPS26A	VPS26A
SUPV3L1	SUPV3L1
AL596223.1	AL596223.1
HKDC1	HKDC1
AL596223.2	AL596223.2
HK1	HK1
TACR2	TACR2
TSPAN15	TSPAN15
NEUROG3	NEUROG3
AL450311.2	AL450311.2
FAM241B	FAM241B
AL450311.1	AL450311.1
COL13A1	COL13A1
AC024601.1	AC024601.1
H2AFY2	H2AFY2
AIFM2	AIFM2
TYSND1	TYSND1
SAR1A	SAR1A
PPA1	PPA1
NPFFR1	NPFFR1
LRRC20	LRRC20
EIF4EBP2	EIF4EBP2
NODAL	NODAL
PALD1	PALD1
PRF1	PRF1
ADAMTS14	ADAMTS14
TBATA	TBATA
SGPL1	SGPL1
PCBD1	PCBD1
AC073176.3	AC073176.3
AC073176.2	AC073176.2
AC073176.1	AC073176.1
UNC5B	UNC5B
UNC5B-AS1	UNC5B-AS1
SLC29A3	SLC29A3
CDH23	CDH23
CDH23-AS1	CDH23-AS1
C10orf105	C10orf105
VSIR	VSIR
PSAP	PSAP
AC073370.1	AC073370.1
CHST3	CHST3
AC022392.1	AC022392.1
SPOCK2	SPOCK2
ASCC1	ASCC1
ANAPC16	ANAPC16
DDIT4	DDIT4
DDIT4-AS1	DDIT4-AS1
DNAJB12	DNAJB12
MICU1	MICU1
AL513185.1	AL513185.1
MCU	MCU
OIT3	OIT3
PLA2G12B	PLA2G12B
P4HA1	P4HA1
AL731563.2	AL731563.2
AL731563.3	AL731563.3
NUDT13	NUDT13
AC016394.2	AC016394.2
ECD	ECD
FAM149B1	FAM149B1
DNAJC9	DNAJC9
DNAJC9-AS1	DNAJC9-AS1
MRPS16	MRPS16
AC016394.1	AC016394.1
CFAP70	CFAP70
ANXA7	ANXA7
AL512656.1	AL512656.1
MSS51	MSS51
PPP3CB	PPP3CB
USP54	USP54
AC073389.1	AC073389.1
AC073389.3	AC073389.3
MYOZ1	MYOZ1
SYNPO2L	SYNPO2L
AC073389.2	AC073389.2
AGAP5	AGAP5
AC022400.6	AC022400.6
SEC24C	SEC24C
FUT11	FUT11
CHCHD1	CHCHD1
ZSWIM8	ZSWIM8
ZSWIM8-AS1	ZSWIM8-AS1
AC022400.7	AC022400.7
NDST2	NDST2
CAMK2G	CAMK2G
AC022400.1	AC022400.1
AC022400.2	AC022400.2
PLAU	PLAU
C10orf55	C10orf55
VCL	VCL
AP3M1	AP3M1
ADK	ADK
AC022540.1	AC022540.1
AC063962.1	AC063962.1
KAT6B	KAT6B
AC018511.2	AC018511.2
AC018511.1	AC018511.1
DUPD1	DUPD1
DUSP13	DUSP13
SAMD8	SAMD8
VDAC2	VDAC2
COMTD1	COMTD1
ZNF503-AS1	ZNF503-AS1
AC010997.3	AC010997.3
ZNF503	ZNF503
ZNF503-AS2	ZNF503-AS2
AC010997.5	AC010997.5
AC010997.4	AC010997.4
AC010997.2	AC010997.2
LRMDA	LRMDA
AC013286.1	AC013286.1
AC024603.1	AC024603.1
KCNMA1	KCNMA1
KCNMA1-AS1	KCNMA1-AS1
KCNMA1-AS2	KCNMA1-AS2
AL731575.1	AL731575.1
KCNMA1-AS3	KCNMA1-AS3
AL450306.1	AL450306.1
DLG5	DLG5
AL391421.1	AL391421.1
POLR3A	POLR3A
RPS24	RPS24
AL731555.1	AL731555.1
AC012560.1	AC012560.1
LINC00595	LINC00595
AC010163.1	AC010163.1
AC010163.2	AC010163.2
AL583852.1	AL583852.1
AC016820.1	AC016820.1
ZMIZ1-AS1	ZMIZ1-AS1
AL356753.1	AL356753.1
ZMIZ1	ZMIZ1
PPIF	PPIF
ZCCHC24	ZCCHC24
AL133481.1	AL133481.1
AL133481.3	AL133481.3
EIF5AL1	EIF5AL1
SFTPA2	SFTPA2
SFTPA1	SFTPA1
BX248123.1	BX248123.1
AL132656.2	AL132656.2
NUTM2B-AS1	NUTM2B-AS1
NUTM2B	NUTM2B
AL135925.1	AL135925.1
NUTM2E	NUTM2E
SFTPD	SFTPD
SFTPD-AS1	SFTPD-AS1
TMEM254-AS1	TMEM254-AS1
TMEM254	TMEM254
PLAC9	PLAC9
ANXA11	ANXA11
LINC00857	LINC00857
MAT1A	MAT1A
AL359195.1	AL359195.1
DYDC1	DYDC1
DYDC2	DYDC2
FAM213A	FAM213A
TSPAN14	TSPAN14
AC021028.1	AC021028.1
SH2D4B	SH2D4B
AL731544.1	AL731544.1
NRG3	NRG3
AC010157.1	AC010157.1
AC069540.2	AC069540.2
AL390786.1	AL390786.1
AL603756.1	AL603756.1
GHITM	GHITM
C10orf99	C10orf99
CDHR1	CDHR1
LRIT2	LRIT2
LRIT1	LRIT1
RGR	RGR
LINC00858	LINC00858
CCSER2	CCSER2
LINC01519	LINC01519
AC025428.1	AC025428.1
AC025428.2	AC025428.2
LINC01520	LINC01520
GRID1-AS1	GRID1-AS1
GRID1	GRID1
AC022028.2	AC022028.2
WAPL	WAPL
AL731569.1	AL731569.1
OPN4	OPN4
LDB3	LDB3
AC067750.1	AC067750.1
BMPR1A	BMPR1A
MMRN2	MMRN2
SNCG	SNCG
ADIRF	ADIRF
AL136982.7	AL136982.7
AL136982.2	AL136982.2
FAM25A	FAM25A
GLUD1	GLUD1
SHLD2	SHLD2
NUTM2A-AS1	NUTM2A-AS1
NUTM2A	NUTM2A
NUTM2D	NUTM2D
LINC00864	LINC00864
MINPP1	MINPP1
AL138767.2	AL138767.2
AL138767.3	AL138767.3
AL138767.1	AL138767.1
PAPSS2	PAPSS2
ATAD1	ATAD1
KLLN	KLLN
PTEN	PTEN
RNLS	RNLS
LIPJ	LIPJ
LIPF	LIPF
LIPK	LIPK
LIPN	LIPN
LIPM	LIPM
ANKRD22	ANKRD22
STAMBPL1	STAMBPL1
ACTA2-AS1	ACTA2-AS1
ACTA2	ACTA2
FAS	FAS
CH25H	CH25H
LIPA	LIPA
IFIT2	IFIT2
AL353751.1	AL353751.1
IFIT3	IFIT3
IFIT1B	IFIT1B
IFIT1	IFIT1
IFIT5	IFIT5
SLC16A12	SLC16A12
SLC16A12-AS1	SLC16A12-AS1
PANK1	PANK1
AL157400.2	AL157400.2
AL157400.1	AL157400.1
AL157400.3	AL157400.3
AL157400.4	AL157400.4
KIF20B	KIF20B
LINC00865	LINC00865
LINC01374	LINC01374
LINC01375	LINC01375
AL391704.2	AL391704.2
AL391704.1	AL391704.1
AL391704.3	AL391704.3
AL390862.1	AL390862.1
HTR7	HTR7
RPP30	RPP30
ANKRD1	ANKRD1
AL365434.1	AL365434.1
AL365434.2	AL365434.2
LINC00502	LINC00502
PCGF5	PCGF5
HECTD2	HECTD2
PPP1R3C	PPP1R3C
TNKS2-AS1	TNKS2-AS1
TNKS2	TNKS2
FGFBP3	FGFBP3
AL359198.1	AL359198.1
BTAF1	BTAF1
CPEB3	CPEB3
MARCH5	MARCH5
IDE	IDE
KIF11	KIF11
HHEX	HHEX
EXOC6	EXOC6
AL358613.1	AL358613.1
CYP26C1	CYP26C1
AL358613.2	AL358613.2
CYP26A1	CYP26A1
MYOF	MYOF
CEP55	CEP55
FFAR4	FFAR4
RBP4	RBP4
PDE6C	PDE6C
FRA10AC1	FRA10AC1
LGI1	LGI1
AL358154.1	AL358154.1
SLC35G1	SLC35G1
PLCE1	PLCE1
PLCE1-AS2	PLCE1-AS2
AL389885.1	AL389885.1
PLCE1-AS1	PLCE1-AS1
AL139124.1	AL139124.1
NOC3L	NOC3L
TBC1D12	TBC1D12
HELLS	HELLS
CYP2C18	CYP2C18
AL583836.1	AL583836.1
CYP2C19	CYP2C19
CYP2C9	CYP2C9
CYP2C8	CYP2C8
AL157834.1	AL157834.1
ACSM6	ACSM6
AL157834.2	AL157834.2
PDLIM1	PDLIM1
SORBS1	SORBS1
ALDH18A1	ALDH18A1
TCTN3	TCTN3
ENTPD1	ENTPD1
ENTPD1-AS1	ENTPD1-AS1
AL365273.2	AL365273.2
CC2D2B	CC2D2B
CCNJ	CCNJ
ZNF518A	ZNF518A
BLNK	BLNK
AL136181.1	AL136181.1
DNTT	DNTT
OPALIN	OPALIN
TLL2	TLL2
TM9SF3	TM9SF3
PIK3AP1	PIK3AP1
LCOR	LCOR
SLIT1	SLIT1
SLIT1-AS1	SLIT1-AS1
ARHGAP19-SLIT1	ARHGAP19-SLIT1
ARHGAP19	ARHGAP19
FRAT1	FRAT1
FRAT2	FRAT2
RRP12	RRP12
AL355490.2	AL355490.2
PGAM1	PGAM1
EXOSC1	EXOSC1
ZDHHC16	ZDHHC16
MMS19	MMS19
UBTD1	UBTD1
ANKRD2	ANKRD2
HOGA1	HOGA1
AL355315.1	AL355315.1
C10orf62	C10orf62
MORN4	MORN4
PI4K2A	PI4K2A
AVPI1	AVPI1
MARVELD1	MARVELD1
ZFYVE27	ZFYVE27
SFRP5	SFRP5
LINC00866	LINC00866
GOLGA7B	GOLGA7B
CRTAC1	CRTAC1
R3HCC1L	R3HCC1L
LOXL4	LOXL4
AL139241.1	AL139241.1
PYROXD2	PYROXD2
HPS1	HPS1
HPSE2	HPSE2
CNNM1	CNNM1
GOT1	GOT1
AL391684.1	AL391684.1
LINC01475	LINC01475
AL513542.1	AL513542.1
NKX2-3	NKX2-3
SLC25A28	SLC25A28
AL353719.1	AL353719.1
AL133353.1	AL133353.1
ENTPD7	ENTPD7
CUTC	CUTC
COX15	COX15
ABCC2	ABCC2
DNMBP	DNMBP
DNMBP-AS1	DNMBP-AS1
CPN1	CPN1
ERLIN1	ERLIN1
CHUK	CHUK
AL138921.2	AL138921.2
AL138921.1	AL138921.1
CWF19L1	CWF19L1
BLOC1S2	BLOC1S2
PKD2L1	PKD2L1
AL139819.1	AL139819.1
SCD	SCD
OLMALINC	OLMALINC
WNT8B	WNT8B
SEC31B	SEC31B
AL133352.1	AL133352.1
NDUFB8	NDUFB8
HIF1AN	HIF1AN
PAX2	PAX2
AL138762.1	AL138762.1
SLF2	SLF2
AL133215.3	AL133215.3
MRPL43	MRPL43
SEMA4G	SEMA4G
AL133215.1	AL133215.1
TWNK	TWNK
LZTS2	LZTS2
PDZD7	PDZD7
SFXN3	SFXN3
AL133215.2	AL133215.2
KAZALD1	KAZALD1
TLX1NB	TLX1NB
TLX1	TLX1
LINC01514	LINC01514
LBX1	LBX1
AL133387.2	AL133387.2
AL133387.1	AL133387.1
AL133387.3	AL133387.3
BTRC	BTRC
DPCD	DPCD
POLL	POLL
FBXW4	FBXW4
AC010789.1	AC010789.1
FGF8	FGF8
NPM3	NPM3
OGA	OGA
KCNIP2-AS1	KCNIP2-AS1
KCNIP2	KCNIP2
ARMH3	ARMH3
HPS6	HPS6
LDB1	LDB1
PPRC1	PPRC1
NOLC1	NOLC1
ELOVL3	ELOVL3
PITX3	PITX3
GBF1	GBF1
NFKB2	NFKB2
PSD	PSD
FBXL15	FBXL15
CUEDC2	CUEDC2
C10orf95	C10orf95
MFSD13A	MFSD13A
ACTR1A	ACTR1A
AL121928.1	AL121928.1
SUFU	SUFU
TRIM8	TRIM8
AL391121.1	AL391121.1
ARL3	ARL3
SFXN2	SFXN2
WBP1L	WBP1L
CYP17A1	CYP17A1
CYP17A1-AS1	CYP17A1-AS1
AL358790.1	AL358790.1
BORCS7	BORCS7
BORCS7-ASMT	BORCS7-ASMT
AS3MT	AS3MT
AL356608.1	AL356608.1
CNNM2	CNNM2
NT5C2	NT5C2
RPEL1	RPEL1
INA	INA
PCGF6	PCGF6
TAF5	TAF5
ATP5MD	ATP5MD
PDCD11	PDCD11
CALHM2	CALHM2
AL139339.2	AL139339.2
AL139339.1	AL139339.1
CALHM1	CALHM1
CALHM3	CALHM3
NEURL1-AS1	NEURL1-AS1
NEURL1	NEURL1
SH3PXD2A	SH3PXD2A
AL121929.2	AL121929.2
SH3PXD2A-AS1	SH3PXD2A-AS1
STN1	STN1
SLK	SLK
COL17A1	COL17A1
SFR1	SFR1
CFAP43	CFAP43
GSTO1	GSTO1
GSTO2	GSTO2
ITPRIP	ITPRIP
AL162742.2	AL162742.2
AL162742.1	AL162742.1
CFAP58-DT	CFAP58-DT
CFAP58	CFAP58
AL161646.1	AL161646.1
AL161646.2	AL161646.2
SORCS3	SORCS3
SORCS3-AS1	SORCS3-AS1
AL731574.1	AL731574.1
AL353148.1	AL353148.1
SORCS1	SORCS1
LINC01435	LINC01435
AL353740.1	AL353740.1
AL356476.1	AL356476.1
XPNPEP1	XPNPEP1
ADD3	ADD3
MXI1	MXI1
AL360182.2	AL360182.2
SMNDC1	SMNDC1
AL355512.1	AL355512.1
DUSP5	DUSP5
SMC3	SMC3
RBM20	RBM20
AL136368.1	AL136368.1
PDCD4-AS1	PDCD4-AS1
PDCD4	PDCD4
BBIP1	BBIP1
AL158163.2	AL158163.2
AL158163.1	AL158163.1
SHOC2	SHOC2
ADRA2A	ADRA2A
AC021035.1	AC021035.1
GPAM	GPAM
TECTB	TECTB
ACSL5	ACSL5
AL157786.1	AL157786.1
ZDHHC6	ZDHHC6
VTI1A	VTI1A
AL139120.1	AL139120.1
TCF7L2	TCF7L2
AL158212.2	AL158212.2
HABP2	HABP2
NRAP	NRAP
CASP7	CASP7
AL592546.1	AL592546.1
PLEKHS1	PLEKHS1
DCLRE1A	DCLRE1A
NHLRC2	NHLRC2
ADRB1	ADRB1
CCDC186	CCDC186
TDRD1	TDRD1
VWA2	VWA2
AC005383.1	AC005383.1
AFAP1L2	AFAP1L2
ABLIM1	ABLIM1
AL137025.1	AL137025.1
FAM160B1	FAM160B1
TRUB1	TRUB1
AL355340.1	AL355340.1
ATRNL1	ATRNL1
GFRA1	GFRA1
CCDC172	CCDC172
PNLIPRP3	PNLIPRP3
PNLIP	PNLIP
PNLIPRP1	PNLIPRP1
C10orf82	C10orf82
AC016825.1	AC016825.1
HSPA12A	HSPA12A
ENO4	ENO4
SHTN1	SHTN1
VAX1	VAX1
MIR3663HG	MIR3663HG
KCNK18	KCNK18
AL731557.1	AL731557.1
SLC18A2	SLC18A2
AL391988.1	AL391988.1
PDZD8	PDZD8
AC005871.2	AC005871.2
EMX2OS	EMX2OS
EMX2	EMX2
AC005871.1	AC005871.1
AL139121.1	AL139121.1
AL513324.1	AL513324.1
RAB11FIP2	RAB11FIP2
AC022395.1	AC022395.1
CASC2	CASC2
FAM204A	FAM204A
LINC00867	LINC00867
PRLHR	PRLHR
CACUL1	CACUL1
AL157788.1	AL157788.1
NANOS1	NANOS1
EIF3A	EIF3A
FAM45A	FAM45A
SFXN4	SFXN4
PRDX3	PRDX3
GRK5	GRK5
AL583824.1	AL583824.1
RGS10	RGS10
TIAL1	TIAL1
BAG3	BAG3
INPP5F	INPP5F
MCMBP	MCMBP
SEC23IP	SEC23IP
PLPP4	PLPP4
LINC01561	LINC01561
WDR11-AS1	WDR11-AS1
WDR11	WDR11
AC010998.2	AC010998.2
AC010998.1	AC010998.1
AC010998.3	AC010998.3
LINC01153	LINC01153
FGFR2	FGFR2
AC009988.1	AC009988.1
AC025947.1	AC025947.1
ATE1	ATE1
AL731566.2	AL731566.2
NSMCE4A	NSMCE4A
AL731566.1	AL731566.1
TACC2	TACC2
BTBD16	BTBD16
PLEKHA1	PLEKHA1
ARMS2	ARMS2
HTRA1	HTRA1
DMBT1	DMBT1
C10orf120	C10orf120
CUZD1	CUZD1
FAM24B	FAM24B
FAM24A	FAM24A
C10orf88	C10orf88
PSTK	PSTK
IKZF5	IKZF5
ACADSB	ACADSB
HMX3	HMX3
HMX2	HMX2
BUB3	BUB3
AL160290.2	AL160290.2
AL160290.1	AL160290.1
AL357127.1	AL357127.1
GPR26	GPR26
CPXM2	CPXM2
AC009987.1	AC009987.1
CHST15	CHST15
OAT	OAT
NKX1-2	NKX1-2
LHPP	LHPP
AC068896.1	AC068896.1
FAM53B	FAM53B
AL513190.1	AL513190.1
FAM53B-AS1	FAM53B-AS1
EEF1AKMT2	EEF1AKMT2
ABRAXAS2	ABRAXAS2
ZRANB1	ZRANB1
AL731577.1	AL731577.1
CTBP2	CTBP2
AL731571.1	AL731571.1
AL157888.1	AL157888.1
TEX36-AS1	TEX36-AS1
TEX36	TEX36
AL158835.1	AL158835.1
AL158835.4	AL158835.4
EDRF1	EDRF1
EDRF1-AS1	EDRF1-AS1
MMP21	MMP21
UROS	UROS
BCCIP	BCCIP
DHX32	DHX32
FANK1	FANK1
FANK1-AS1	FANK1-AS1
ADAM12	ADAM12
LINC00601	LINC00601
C10orf90	C10orf90
DOCK1	DOCK1
AL359094.1	AL359094.1
AL359094.2	AL359094.2
FAM196A	FAM196A
NPS	NPS
FOXI2	FOXI2
CLRN3	CLRN3
PTPRE	PTPRE
AL158166.2	AL158166.2
MKI67	MKI67
AL390763.2	AL390763.2
AL390763.1	AL390763.1
AL355537.1	AL355537.1
AL355537.2	AL355537.2
AL391869.1	AL391869.1
MGMT	MGMT
AL157832.2	AL157832.2
AL157832.1	AL157832.1
AL157832.3	AL157832.3
EBF3	EBF3
AL354950.2	AL354950.2
AL354950.1	AL354950.1
C10orf143	C10orf143
GLRX3	GLRX3
AL355500.1	AL355500.1
TCERG1L	TCERG1L
TCERG1L-AS1	TCERG1L-AS1
LINC01164	LINC01164
FP565171.1	FP565171.1
PPP2R2D	PPP2R2D
BNIP3	BNIP3
AL162274.2	AL162274.2
AL162274.1	AL162274.1
JAKMIP3	JAKMIP3
AL512622.1	AL512622.1
DPYSL4	DPYSL4
STK32C	STK32C
LRRC27	LRRC27
PWWP2B	PWWP2B
AL451069.2	AL451069.2
AL451069.3	AL451069.3
C10orf91	C10orf91
AL451069.1	AL451069.1
LINC01165	LINC01165
INPP5A	INPP5A
NKX6-2	NKX6-2
CFAP46	CFAP46
LINC01166	LINC01166
LINC01167	LINC01167
LINC01168	LINC01168
ADGRA1	ADGRA1
ADGRA1-AS1	ADGRA1-AS1
KNDC1	KNDC1
UTF1	UTF1
VENTX	VENTX
MIR202HG	MIR202HG
AL592071.1	AL592071.1
ADAM8	ADAM8
TUBGCP2	TUBGCP2
AL360181.2	AL360181.2
ZNF511	ZNF511
ZNF511-PRAP1	ZNF511-PRAP1
CALY	CALY
AL360181.1	AL360181.1
PRAP1	PRAP1
FUOM	FUOM
ECHS1	ECHS1
AL360181.4	AL360181.4
PAOX	PAOX
AL360181.3	AL360181.3
MTG1	MTG1
SPRN	SPRN
SCART1	SCART1
CYP2E1	CYP2E1
AL161645.1	AL161645.1
SYCE1	SYCE1
FRG2B	FRG2B
FAM138D	FAM138D
IQSEC3	IQSEC3
AC026369.3	AC026369.3
AC026369.1	AC026369.1
AC026369.2	AC026369.2
AC007406.3	AC007406.3
SLC6A12	SLC6A12
AC007406.1	AC007406.1
AC007406.4	AC007406.4
SLC6A13	SLC6A13
KDM5A	KDM5A
CCDC77	CCDC77
B4GALNT3	B4GALNT3
NINJ2	NINJ2
AC006205.1	AC006205.1
AC021054.1	AC021054.1
LINC02455	LINC02455
WNK1	WNK1
RAD52	RAD52
AC004803.1	AC004803.1
ERC1	ERC1
AC004672.1	AC004672.1
LINC00942	LINC00942
WNT5B	WNT5B
FBXL14	FBXL14
ADIPOR2	ADIPOR2
CACNA2D4	CACNA2D4
LRTM2	LRTM2
AC005342.2	AC005342.2
LINC00940	LINC00940
DCP1B	DCP1B
CACNA1C	CACNA1C
AC005342.1	AC005342.1
AC005344.1	AC005344.1
CACNA1C-AS4	CACNA1C-AS4
CACNA1C-AS3	CACNA1C-AS3
CACNA1C-AS2	CACNA1C-AS2
CACNA1C-AS1	CACNA1C-AS1
LINC02371	LINC02371
FKBP4	FKBP4
ITFG2-AS1	ITFG2-AS1
AC005841.1	AC005841.1
ITFG2	ITFG2
NRIP2	NRIP2
TEX52	TEX52
FOXM1	FOXM1
RHNO1	RHNO1
TULP3	TULP3
TEAD4	TEAD4
AC125807.2	AC125807.2
TSPAN9	TSPAN9
AC005865.1	AC005865.1
LINC02417	LINC02417
PRMT8	PRMT8
AC005908.2	AC005908.2
CRACR2A	CRACR2A
AC006207.1	AC006207.1
PARP11	PARP11
AC005842.1	AC005842.1
AC007207.2	AC007207.2
CCND2	CCND2
TIGAR	TIGAR
FGF23	FGF23
FGF6	FGF6
C12orf4	C12orf4
RAD51AP1	RAD51AP1
DYRK4	DYRK4
AC005832.4	AC005832.4
AKAP3	AKAP3
NDUFA9	NDUFA9
AC005833.2	AC005833.2
AC005833.1	AC005833.1
GALNT8	GALNT8
AC005833.3	AC005833.3
KCNA6	KCNA6
KCNA1	KCNA1
AC006063.2	AC006063.2
KCNA5	KCNA5
LINC02443	LINC02443
AC006206.2	AC006206.2
AC006206.1	AC006206.1
AC007848.2	AC007848.2
AC007848.1	AC007848.1
NTF3	NTF3
ANO2	ANO2
VWF	VWF
AC005845.1	AC005845.1
CD9	CD9
PLEKHG6	PLEKHG6
TNFRSF1A	TNFRSF1A
SCNN1A	SCNN1A
LTBR	LTBR
AC005840.2	AC005840.2
CD27	CD27
TAPBPL	TAPBPL
VAMP1	VAMP1
AC005840.4	AC005840.4
MRPL51	MRPL51
NCAPD2	NCAPD2
AC006064.3	AC006064.3
GAPDH	GAPDH
AC006064.4	AC006064.4
IFFO1	IFFO1
AC006064.1	AC006064.1
NOP2	NOP2
AC006064.6	AC006064.6
CHD4	CHD4
AC006064.2	AC006064.2
LPAR5	LPAR5
ACRBP	ACRBP
ING4	ING4
ZNF384	ZNF384
PIANP	PIANP
AC125494.3	AC125494.3
COPS7A	COPS7A
AC125494.2	AC125494.2
MLF2	MLF2
PTMS	PTMS
LAG3	LAG3
CD4	CD4
GPR162	GPR162
P3H3	P3H3
GNB3	GNB3
CDCA3	CDCA3
USP5	USP5
TPI1	TPI1
SPSB2	SPSB2
LRRC23	LRRC23
U47924.3	U47924.3
ENO2	ENO2
ATN1	ATN1
C12orf57	C12orf57
U47924.2	U47924.2
PTPN6	PTPN6
MIR200CHG	MIR200CHG
U47924.1	U47924.1
PHB2	PHB2
EMG1	EMG1
EMG1	EMG1
LPCAT3	LPCAT3
C1S	C1S
C1R	C1R
C1RL	C1RL
C1RL-AS1	C1RL-AS1
AC233309.1	AC233309.1
RBP5	RBP5
AC018653.3	AC018653.3
CLSTN3	CLSTN3
AC018653.1	AC018653.1
PEX5	PEX5
ACSM4	ACSM4
CD163L1	CD163L1
CD163	CD163
APOBEC1	APOBEC1
GDF3	GDF3
DPPA3	DPPA3
CLEC4C	CLEC4C
NANOGNB	NANOGNB
NANOG	NANOG
SLC2A14	SLC2A14
SLC2A3	SLC2A3
AC006511.4	AC006511.4
FOXJ2	FOXJ2
C3AR1	C3AR1
NECAP1	NECAP1
CLEC4A	CLEC4A
AC092111.3	AC092111.3
ZNF705A	ZNF705A
FAM66C	FAM66C
AC092111.2	AC092111.2
AC092111.1	AC092111.1
FAM90A1	FAM90A1
LINC02449	LINC02449
LINC00937	LINC00937
AC092745.1	AC092745.1
CLEC6A	CLEC6A
CLEC4D	CLEC4D
CLEC4E	CLEC4E
AC092746.1	AC092746.1
AICDA	AICDA
MFAP5	MFAP5
AC092490.2	AC092490.2
RIMKLB	RIMKLB
A2ML1-AS1	A2ML1-AS1
AC092490.1	AC092490.1
A2ML1-AS2	A2ML1-AS2
A2ML1	A2ML1
AC006581.2	AC006581.2
PHC1	PHC1
M6PR	M6PR
KLRG1	KLRG1
AC006581.1	AC006581.1
A2M-AS1	A2M-AS1
A2M	A2M
PZP	PZP
LINC00987	LINC00987
AC010175.1	AC010175.1
LINC02367	LINC02367
KLRB1	KLRB1
AC010186.1	AC010186.1
CLEC2D	CLEC2D
LINC02390	LINC02390
CLECL1	CLECL1
CD69	CD69
KLRF1	KLRF1
CLEC2B	CLEC2B
AC091814.1	AC091814.1
KLRF2	KLRF2
CLEC2A	CLEC2A
LINC02470	LINC02470
CLEC12A-AS1	CLEC12A-AS1
CLEC12A	CLEC12A
CLEC1B	CLEC1B
CLEC12B	CLEC12B
AC024224.2	AC024224.2
CLEC9A	CLEC9A
CLEC1A	CLEC1A
CLEC7A	CLEC7A
OLR1	OLR1
TMEM52B	TMEM52B
GABARAPL1	GABARAPL1
AC115676.1	AC115676.1
KLRD1	KLRD1
AC022075.3	AC022075.3
AC022075.2	AC022075.2
AC022075.1	AC022075.1
KLRK1	KLRK1
KLRC4-KLRK1	KLRC4-KLRK1
KLRC4	KLRC4
AC068775.1	AC068775.1
KLRC3	KLRC3
KLRC2	KLRC2
KLRC1	KLRC1
EIF2S3B	EIF2S3B
LINC02446	LINC02446
MAGOHB	MAGOHB
STYK1	STYK1
YBX3	YBX3
LINC02366	LINC02366
TAS2R7	TAS2R7
TAS2R8	TAS2R8
TAS2R9	TAS2R9
PRH1	PRH1
TAS2R10	TAS2R10
PRR4	PRR4
AC018630.2	AC018630.2
AC006518.7	AC006518.7
TAS2R13	TAS2R13
PRH2	PRH2
TAS2R14	TAS2R14
TAS2R50	TAS2R50
TAS2R20	TAS2R20
TAS2R19	TAS2R19
TAS2R31	TAS2R31
TAS2R46	TAS2R46
TAS2R43	TAS2R43
TAS2R30	TAS2R30
SMIM10L1	SMIM10L1
TAS2R42	TAS2R42
AC244131.2	AC244131.2
PRB3	PRB3
PRB4	PRB4
PRB1	PRB1
PRB2	PRB2
AC007450.1	AC007450.1
LINC01252	LINC01252
ETV6	ETV6
BCL2L14	BCL2L14
LRP6	LRP6
MANSC1	MANSC1
LOH12CR2	LOH12CR2
BORCS5	BORCS5
DUSP16	DUSP16
AC007619.1	AC007619.1
CREBL2	CREBL2
AC008115.4	AC008115.4
GPR19	GPR19
AC008115.2	AC008115.2
CDKN1B	CDKN1B
AC008115.1	AC008115.1
APOLD1	APOLD1
DDX47	DDX47
GPRC5A	GPRC5A
GPRC5D-AS1	GPRC5D-AS1
GPRC5D	GPRC5D
AC007688.2	AC007688.2
HEBP1	HEBP1
AC023790.2	AC023790.2
FAM234B	FAM234B
GSG1	GSG1
EMP1	EMP1
LINC01559	LINC01559
GRIN2B	GRIN2B
AC007527.2	AC007527.2
AC092112.1	AC092112.1
ATF7IP	ATF7IP
PLBD1	PLBD1
AC008114.1	AC008114.1
PLBD1-AS1	PLBD1-AS1
GUCY2C	GUCY2C
AC010168.1	AC010168.1
HIST4H4	HIST4H4
H2AFJ	H2AFJ
WBP11	WBP11
C12orf60	C12orf60
SMCO3	SMCO3
ART4	ART4
AC007655.1	AC007655.1
MGP	MGP
ERP27	ERP27
ARHGDIB	ARHGDIB
PDE6H	PDE6H
LINC01489	LINC01489
RERG	RERG
RERG-AS1	RERG-AS1
PTPRO	PTPRO
EPS8	EPS8
AC073651.1	AC073651.1
STRAP	STRAP
DERA	DERA
SLC15A5	SLC15A5
MGST1	MGST1
LMO3	LMO3
AC007552.2	AC007552.2
AC007529.2	AC007529.2
AC007529.1	AC007529.1
LINC02378	LINC02378
AC087321.1	AC087321.1
RERGL	RERGL
PIK3C2G	PIK3C2G
PLCZ1	PLCZ1
AC087242.1	AC087242.1
CAPZA3	CAPZA3
PLEKHA5	PLEKHA5
AEBP2	AEBP2
AC024901.1	AC024901.1
LINC02398	LINC02398
LINC02468	LINC02468
AC129102.1	AC129102.1
PDE3A	PDE3A
SLCO1C1	SLCO1C1
SLCO1B3	SLCO1B3
AC011604.2	AC011604.2
SLCO1B7	SLCO1B7
AC022335.1	AC022335.1
SLCO1B1	SLCO1B1
SLCO1A2	SLCO1A2
IAPP	IAPP
PYROXD1	PYROXD1
RECQL	RECQL
GOLT1B	GOLT1B
SPX	SPX
GYS2	GYS2
LDHB	LDHB
AC010197.1	AC010197.1
AC010185.1	AC010185.1
KCNJ8	KCNJ8
ABCC9	ABCC9
AC008250.1	AC008250.1
CMAS	CMAS
ST8SIA1	ST8SIA1
AC087318.1	AC087318.1
C2CD5	C2CD5
AC053513.1	AC053513.1
AC087241.1	AC087241.1
AC087241.3	AC087241.3
