genes	class	species
Gm37233	predict_gene_Gm	mice
Gm28306	predict_gene_Gm	mice
Gm38336	predict_gene_Gm	mice
Gm37068	predict_gene_Gm	mice
Gm28415	predict_gene_Gm	mice
Gm37146	predict_gene_Gm	mice
Gm33222	predict_gene_Gm	mice
Gm37335	predict_gene_Gm	mice
Gm33280	predict_gene_Gm	mice
Gm38033	predict_gene_Gm	mice
Gm43543	predict_gene_Gm	mice
Gm33533	predict_gene_Gm	mice
Gm37020	predict_gene_Gm	mice
Gm26805	predict_gene_Gm	mice
Gm15457	predict_gene_Gm	mice
Gm5099	predict_gene_Gm	mice
Gm16150	predict_gene_Gm	mice
Gm16151	predict_gene_Gm	mice
Gm16152	predict_gene_Gm	mice
Gm37707	predict_gene_Gm	mice
Gm37821	predict_gene_Gm	mice
Gm3646	predict_gene_Gm	mice
Gm16894	predict_gene_Gm	mice
Gm35801	predict_gene_Gm	mice
Gm37623	predict_gene_Gm	mice
Gm37915	predict_gene_Gm	mice
Gm28634	predict_gene_Gm	mice
Gm29260	predict_gene_Gm	mice
Gm9915	predict_gene_Gm	mice
Gm29664	predict_gene_Gm	mice
Gm28175	predict_gene_Gm	mice
Gm28140	predict_gene_Gm	mice
Gm28782	predict_gene_Gm	mice
Gm29040	predict_gene_Gm	mice
Gm29155	predict_gene_Gm	mice
Gm29157	predict_gene_Gm	mice
Gm29156	predict_gene_Gm	mice
Gm8251	predict_gene_Gm	mice
Gm5269	predict_gene_Gm	mice
Gm28151	predict_gene_Gm	mice
Gm28826	predict_gene_Gm	mice
Gm29665	predict_gene_Gm	mice
Gm28321	predict_gene_Gm	mice
Gm28322	predict_gene_Gm	mice
Gm28319	predict_gene_Gm	mice
Gm29325	predict_gene_Gm	mice
Gm17767	predict_gene_Gm	mice
Gm28055	predict_gene_Gm	mice
Gm553	predict_gene_Gm	mice
Gm28178	predict_gene_Gm	mice
Gm28777	predict_gene_Gm	mice
Gm28778	predict_gene_Gm	mice
Gm28551	predict_gene_Gm	mice
Gm10561	predict_gene_Gm	mice
Gm28240	predict_gene_Gm	mice
Gm17234	predict_gene_Gm	mice
Gm15759	predict_gene_Gm	mice
Gm15834	predict_gene_Gm	mice
Gm29018	predict_gene_Gm	mice
Gm29017	predict_gene_Gm	mice
Gm29016	predict_gene_Gm	mice
Gm26813	predict_gene_Gm	mice
Gm973	predict_gene_Gm	mice
Gm28411	predict_gene_Gm	mice
Gm11579	predict_gene_Gm	mice
Gm28083	predict_gene_Gm	mice
Gm11587	predict_gene_Gm	mice
Gm11588	predict_gene_Gm	mice
Gm28449	predict_gene_Gm	mice
Gm29084	predict_gene_Gm	mice
Gm29083	predict_gene_Gm	mice
Gm4208	predict_gene_Gm	mice
Gm20342	predict_gene_Gm	mice
Gm11608	predict_gene_Gm	mice
Gm13749	predict_gene_Gm	mice
Gm26649	predict_gene_Gm	mice
Gm13748	predict_gene_Gm	mice
Gm28981	predict_gene_Gm	mice
Gm28982	predict_gene_Gm	mice
Gm29152	predict_gene_Gm	mice
Gm28845	predict_gene_Gm	mice
Gm10558	predict_gene_Gm	mice
Gm15668	predict_gene_Gm	mice
Gm15669	predict_gene_Gm	mice
Gm15671	predict_gene_Gm	mice
Gm28497	predict_gene_Gm	mice
Gm29113	predict_gene_Gm	mice
Gm29114	predict_gene_Gm	mice
Gm8883	predict_gene_Gm	mice
Gm28818	predict_gene_Gm	mice
Gm4319	predict_gene_Gm	mice
Gm29185	predict_gene_Gm	mice
Gm29186	predict_gene_Gm	mice
